#anidi -ídia=categories: A;fonts: dsalut;
acardíac acardíaca=categories: A;fonts: dsalut;
acariciable=categories: A;fonts: AVL;
acariciador acariciadora=categories: A;fonts: LT;
acaricida=categories: A;fonts: LT;
acariobiont=categories: A;fonts: LT;
acariota=categories: A;fonts: LT;
acaroide=categories: A;fonts: dsalut;
acaronador acaronadora=categories: A;fonts: LT;
acarotòxic acarotòxica=categories: A;fonts: dsalut;
acarp acarpa=categories: A;fonts: LT;
acasat acasada=categories: A;fonts: LT;
acaserat acaserada=categories: A;fonts: LT;
acassolat acassolada=categories: A;fonts: LT;
acatable=categories: A;fonts: DCC,DDLC;
acatalèctic acatalèctica=categories: A;fonts: LT;
acatalèptic acatalèptica=categories: A;fonts: LT;
acatalèptic acatalèptica=categories: A;fonts: dsalut;
acatastàtic acatastàtica=categories: A;fonts: dsalut;
acatèctic acatèctica=categories: A;fonts: dsalut;
acaudat -ada=categories: A;fonts: dsalut;
acaule=categories: A;fonts: LT;
acaulescent=categories: A;fonts: LT;
accadi accàdia=categories: A;fonts: LT;
accedent=categories: A;fonts: LT;
acceleracionista=categories: A;fonts: wiki;
accelerador acceleradora [fem. acceleratriu]=categories: A;fonts: LT;
accelerat accelerada [sup. acceleradíssim]=categories: A;fonts: LT;
accentogen accentògena=categories: A;fonts: LT;
accentuable=categories: A;fonts: LT;
accentual=categories: A;fonts: LT;
accentuat accentuada [sup. accentuadíssim]=categories: A; font:apertium;
acceptable=categories: A;fonts: LT;
acceptador acceptadora=categories: A;fonts: LT;
acceptant=categories: A;fonts: LT;
accepte accepta=categories: A;fonts: LT;
accessible=categories: A;fonts: LT;
accessori accessòria=categories: A;fonts: LT;
acci àccia=categories: A;fonts: LT;
accidental=categories: A;fonts: LT;
accidentalista=categories: A;fonts: LT;
accidentat accidentada [sup. accidentadíssim]=categories: A; font:apertium;
accidentogen accidentògena=categories: A;fonts: LT;
accidiós accidiosa=categories: A;fonts: LT;
accionable=categories: A;fonts: softcatala,DDLC;
accionalista=categories: A;fonts: LT;
accionarial=categories: A;fonts: LT;
acefalobraqui -àquia=categories: A;fonts: dsalut;
acefalocardíac acefalocardíaca=categories: A;fonts: dsalut;
acefalogàstric -a=categories: A;fonts: dsalut;
acefaloquiri -íria=categories: A;fonts: dsalut;
acefalorraqui -àquia=categories: A;fonts: dsalut;
acefalotoràcic -a=categories: A;fonts: dsalut;
acefalòpode -a=categories: A;fonts: dsalut;
acefalòstom acefalòstoma=categories: A;fonts: dsalut;
acefàlic acefàlica=categories: A;fonts: dsalut;
acelomat acelomada=categories: A;fonts: LT;
acel·lular=categories: A;fonts: LT;
acentròfor acentròfora=categories: A;fonts: LT;
acerb acerba=categories: A;fonts: LT;
acervat acervada=categories: A;fonts: LT;
acerós acerosa=categories: A;fonts: LT;
acescent=categories: A;fonts: LT;
acetabular=categories: A;fonts: dsalut;
acetabuliforme=categories: A;fonts: LT;
acetificador acetificadora=categories: A;fonts: LT;
acetilacètic acetilacètica=categories: A;fonts: LT;
acetilcolinèrgic acetilcolinèrgica=categories: A;fonts: dsalut;
acetilsalicílic acetilsalicílica=categories: A;fonts: LT;
acetilènic acetilènica=categories: A;fonts: LT;
acetoacètic acetoacètica=categories: A;fonts: LT;
acetohidroxàmic=categories: AM;fonts: dsalut;
acetonèmic acetonèmica=categories: A;fonts: dsalut;
acetosoluble=categories: A;fonts: dsalut;
acetrizoic acetrizoica=categories: A;fonts: dsalut;
acetàlic acetàlica=categories: A;fonts: LT;
acetònic acetònica=categories: A;fonts: LT;
acetós acetosa=categories: A;fonts: LT;
acheulià acheuliana=categories: A;fonts: LT;
acianòtic acianòtica=categories: A;fonts: dsalut;
acicular=categories: A;fonts: LT;
aciculat aciculada=categories: A;fonts: LT;
aciculifoli aciculifòlia=categories: A;fonts: LT;
aciculiforme=categories: A;fonts: LT;
acidificable=categories: A;fonts: LT;
acidificant=categories: A;fonts: LT;
acidimètric acidimètrica=categories: A;fonts: LT;
acidobàsic acidobàsica=categories: A;fonts: dsalut;
acidocatalitzat acidocatalitzada=categories: A;fonts: LT;
acidofílic acidofílica=categories: A;fonts: dsalut;
acidogen acidògena=categories: A;fonts: LT;
acidoresistent=categories: A;fonts: LT;
acidulós acidulosa=categories: A; fonts: Jané;
acidífer acidífera=categories: A;fonts: LT;
acidòfil acidòfila=categories: A;fonts: LT;
acidòtic acidòtica=categories: A;fonts: LT;
acidúric acidúrica=categories: A;fonts: dsalut;
acientífic acientífica=categories: A;fonts: LT;
acifoli acifòlia=categories: A;fonts: LT;
aciforme=categories: A;fonts: LT;
aciloínic aciloínica=categories: A;fonts: LT;
acinaciforme=categories: A;fonts: LT;
acinglat acinglada=categories: A;fonts: LT;
acinglerat acinglerada=categories: A;fonts: LT;
aciniforme=categories: A;fonts: LT;
acinotubular=categories: A;fonts: dsalut;
acinètic acinètica=categories: A;fonts: LT;
acinètic acinètica=categories: A;fonts: dsalut;
acinós acinosa=categories: A;fonts: LT;
aclafollat -ada=categories: A;fonts: AVL;
aclamador aclamadora=categories: A;fonts: LT;
aclamatori aclamatòria=categories: A;fonts: LT;
aclamidi aclamídia=categories: A;fonts: LT;
aclaparador aclaparadora=categories: A;fonts: LT;
aclaparadíssim aclaparadíssima=categories: A;fonts: superlative;
aclaridor aclaridora=categories: A;fonts: LT;
aclavellat aclavellada=categories: A;fonts: LT;
aclaviculat -ada=categories: A;fonts: dsalut;
aclide aclida=categories: A;fonts: LT;
aclimatable=categories: A;fonts: LT;
aclofollat aclofollada=categories: A;fonts: LT;
aclorhídric aclorhídrica=categories: A;fonts: dsalut;
aclàstic aclàstica=categories: A;fonts: LT;
aclínic aclínica=categories: A;fonts: LT;
acneic acneica=categories: A;fonts: LT;
acneïforme=categories: A;fonts: LT;
acniforme=categories: A;fonts: LT;
acnogen acnògena=categories: A;fonts: dsalut;
acoblable=categories: A;fonts: LT;
acoblant=categories: A;fonts: LT;
acollatant=categories: A;fonts: LT;
acollent=categories: A;fonts: LT;
acollidor acollidora=categories: A;fonts: LT;
acollonador acollonadora=categories: A;fonts: LT;
acollonidor acollonidora=categories: A;fonts: LT;
acollonidíssim acollonidíssima=categories: A;fonts: superlative;
acolorit acolorida [sup. acoloridíssim]=categories: A; font:apertium;
acolúric acolúrica=categories: A;fonts: dsalut;
acomiadable=categories: A;fonts: derivat;
acomodable=categories: A;fonts: LT;
acomodador acomodadora=categories: A;fonts: LT;
acomodatici acomodatícia=categories: A;fonts: LT;
acomodatiu acomodativa=categories: A;fonts: LT;
acompanyable=categories: A;fonts: LT;
acompanyador acompanyadora=categories: A;fonts: LT;
acompanyadíssim acompanyadíssima=categories: A;fonts: superlative;
acompanyant=categories: A;fonts: LT;
acomplexat acomplexada [sup. acomplexadíssim]=categories: A; font:apertium;
